ndvi,sr,rendvi,vog1,vog2,vog3,bri,mcari,mcari2,mtvi,mtvi2,tcari,tvi,ari1,ari2,wbi,ndwi,msi,ndii,clsi,mcai,osvi,gemi,dvi,gdvi,gndvi,grvi,ipvi,rdvi,msr,nli,mnli,savi,tdvi,gmi1,gmi2,g,lic1,nri1510,nri1850,wi,dwsi4,crt2,zmi,lsi,pri,ndci
0.3349,2.0289,0.288,1.2687,-0.0665,-0.0695,-1.1405,0.0341,0.5567,0.9915,0.4454,0.0025,32.1762,-0.9695,-0.8267,1.0052,0.0124,1.0052,0.0984,-0.9288,-2835.5799,0.3403,0.3403,0.4274,0.1704,0.1118,1.2546,0.6675,0.3783,0.5865,0.2611,0.2707,0.3609,0.9133,1.1806,1.957,1.5798,0.335,0.0496,0.3047,0.5526,1.6411,0.5057,1.6124,1.0249,0.0421,0.0356
0.3272,1.983,0.2416,1.2078,-0.0511,-0.053,-1.0483,0.0426,0.5229,0.9237,0.4183,0.0324,29.3921,-0.8502,-0.6911,1.0019,0.0102,1.0019,0.097,-0.9062,-2205.4668,0.3177,0.3177,0.4046,0.1483,0.0987,1.2202,0.6636,0.3638,0.5657,0.2369,0.2439,0.3493,0.9092,1.136,1.7892,1.5924,0.326,0.0653,0.294,0.5972,1.6234,0.5255,1.483,1.0213,0.0524,0.0274
0.348,2.0918,0.2833,1.2747,-0.082,-0.0862,-1.0745,0.0379,0.5612,1.0032,0.449,0.0142,31.0447,-0.9354,-0.818,0.9873,0.0181,0.9873,0.1227,-0.8833,-2844.6877,0.3479,0.3479,0.4439,0.1832,0.1174,1.2497,0.664,0.391,0.6212,0.2829,0.2986,0.3722,0.9055,1.1427,1.8808,1.5797,0.3468,0.0432,0.3247,0.5254,1.6179,0.4884,1.6446,0.996,0.061,0.0476
0.3508,2.105,0.2827,1.2795,-0.0716,-0.075,-1.1823,0.0384,0.5644,0.997,0.4515,0.0124,30.8619,-1.0075,-0.8623,1.0029,0.0086,1.0029,0.1013,-0.9018,-2248.9133,0.348,0.348,0.4325,0.1596,0.105,1.2368,0.6754,0.3879,0.6257,0.267,0.2768,0.375,0.9216,1.1381,1.9274,1.6466,0.3496,0.0574,0.3208,0.5415,1.6738,0.5052,1.632,1.0249,0.0555,0.0572
0.3496,2.1056,0.2677,1.2392,-0.0568,-0.0593,-1.0497,0.0435,0.5568,0.9999,0.4454,0.0316,31.802,-0.8979,-0.7737,1.0054,0.0127,1.0054,0.0997,-0.9373,-3139.282,0.3448,0.3448,0.4462,0.184,0.118,1.2718,0.6748,0.3947,0.6209,0.2796,0.2942,0.3765,0.9212,1.1796,1.8956,1.6158,0.348,0.0682,0.3176,0.5646,1.6511,0.5029,1.5657,1.0196,0.0479,0.0313
0.3514,2.1168,0.2865,1.2644,-0.0684,-0.0717,-1.0798,0.039,0.5447,0.9961,0.4357,0.0249,32.6354,-0.9301,-0.8049,0.9993,0.0048,0.9993,0.0914,-0.9375,-4367.5734,0.3493,0.3493,0.4486,0.2073,0.1298,1.3036,0.6757,0.3968,0.6255,0.2883,0.2987,0.3784,0.922,1.2289,1.9652,1.5675,0.3509,0.0707,0.3231,0.5562,1.5999,0.489,1.6369,1.0378,0.0492,0.044
0.3634,2.192,0.2972,1.3032,-0.0802,-0.0843,-1.1933,0.0375,0.5836,1.0455,0.4669,0.01,32.4288,-1.0387,-0.9091,1.0055,0.0154,1.0055,0.1158,-0.9155,-2908.554,0.363,0.363,0.4619,0.193,0.1239,1.2869,0.6817,0.4095,0.6567,0.298,0.3132,0.3909,0.9283,1.1695,1.9923,1.6671,0.3618,0.0538,0.3375,0.5182,1.6953,0.4892,1.6929,1.0213,0.0516,0.0562
0.3642,2.1809,0.2992,1.3229,-0.09,-0.0947,-1.1121,0.039,0.587,1.0646,0.4696,0.0124,32.8344,-0.9956,-0.8867,1.0098,0.0229,1.0098,0.1333,-0.9088,-3140.565,0.3659,0.3659,0.4768,0.2042,0.1288,1.2991,0.6821,0.415,0.6549,0.3135,0.3332,0.3942,0.9289,1.1743,1.9723,1.6347,0.363,0.0445,0.3414,0.5207,1.6737,0.4873,1.7172,1.0122,0.0626,0.0494
0.3659,2.1895,0.2968,1.3023,-0.0787,-0.0828,-1.0913,0.0398,0.5802,1.0435,0.4642,0.0187,32.7555,-0.9599,-0.8651,1.0087,0.0205,1.0087,0.121,-0.9178,-3385.4766,0.3662,0.3662,0.4684,0.2069,0.1331,1.3101,0.6829,0.4138,0.6588,0.3049,0.3256,0.3944,0.9298,1.1976,1.9858,1.6145,0.3647,0.0622,0.341,0.5425,1.6499,0.484,1.6878,1.0078,0.0599,0.0439
0.3523,2.1156,0.2871,1.2716,-0.0672,-0.0704,-1.2686,0.0421,0.568,1.0182,0.4544,0.0218,33.1055,-1.0582,-0.8362,0.9986,0.0038,0.9986,0.0936,-0.9301,-3041.1689,0.3475,0.3475,0.4424,0.1754,0.1111,1.2619,0.6762,0.3998,0.6261,0.28,0.2881,0.3848,0.9227,1.1809,1.9683,1.6831,0.3522,0.0812,0.3218,0.5494,1.7262,0.4856,1.6331,1.0435,0.0569,0.044
0.3511,2.1073,0.2873,1.2854,-0.0835,-0.0878,-1.0925,0.0397,0.5683,1.0272,0.4547,0.0159,31.8546,-0.9591,-0.8462,0.9875,0.0182,0.9875,0.1216,-0.8891,-2781.4939,0.3537,0.3537,0.4504,0.1851,0.118,1.251,0.6655,0.3974,0.6282,0.2898,0.3055,0.3796,0.9072,1.1463,1.9114,1.5975,0.3497,0.0494,0.329,0.5219,1.6315,0.4827,1.6591,0.9964,0.0618,0.0509
0.365,2.1724,0.2963,1.3073,-0.082,-0.0869,-1.1066,0.0384,0.5764,1.0487,0.4612,0.0124,32.5616,-0.9732,-0.8601,1.0073,0.0186,1.0073,0.1189,-0.9148,-3444.5806,0.3662,0.3662,0.4669,0.2068,0.132,1.3079,0.6825,0.4109,0.6504,0.3033,0.3208,0.391,0.9293,1.1935,1.9758,1.6207,0.3639,0.0635,0.3404,0.5391,1.6585,0.4847,1.6951,1.0103,0.0569,0.0507
0.3512,2.1173,0.2811,1.275,-0.0697,-0.073,-1.1847,0.0398,0.5749,1.021,0.4599,0.0144,31.9035,-0.9761,-0.8328,1.003,0.0088,1.003,0.101,-0.9167,-2652.8466,0.3483,0.3483,0.4415,0.1769,0.1165,1.2632,0.6756,0.3936,0.6254,0.2766,0.2886,0.3767,0.9219,1.1592,1.9218,1.6535,0.35,0.0653,0.3231,0.5513,1.6948,0.5004,1.631,1.0269,0.0519,0.0515
0.3482,2.1001,0.2855,1.2933,-0.08,-0.0838,-1.1748,0.0426,0.5683,1.0061,0.4546,0.0247,31.2572,-0.9783,-0.8231,1.0146,0.0206,1.0146,0.1164,-0.886,-2530.892,0.3458,0.3458,0.433,0.177,0.1158,1.2659,0.6741,0.3881,0.618,0.2664,0.2765,0.3722,0.9203,1.1557,1.9199,1.6311,0.3475,0.0576,0.3235,0.5585,1.6719,0.506,1.6581,1.0033,0.06,0.0492
0.3644,2.1794,0.291,1.263,-0.066,-0.0691,-1.2014,0.0444,0.5828,1.0105,0.4662,0.0288,33.0878,-1.0043,-0.8423,0.9983,0.0014,0.9983,0.0868,-0.9377,-3096.4,0.3557,0.3557,0.4404,0.1639,0.1082,1.2446,0.6822,0.3973,0.6547,0.2764,0.2799,0.3872,0.9291,1.1851,2.0037,1.6773,0.364,0.0822,0.3287,0.5665,1.7194,0.4748,1.6243,1.0384,0.0577,0.0388
0.3328,2.003,0.2579,1.2407,-0.0595,-0.062,-0.9594,0.0384,0.5207,0.9443,0.4166,0.0242,29.9156,-0.8023,-0.6892,1.0047,0.0141,1.0047,0.1017,-0.9148,-3187.3391,0.3295,0.3295,0.4251,0.1854,0.1206,1.2762,0.6664,0.3744,0.5748,0.2589,0.2724,0.3596,0.9121,1.1942,1.8225,1.529,0.3311,0.0616,0.3033,0.5863,1.5666,0.5236,1.5501,1.0137,0.0476,0.0325
0.3569,2.1373,0.2932,1.2965,-0.0882,-0.0929,-1.0899,0.0382,0.5753,1.0433,0.4602,0.0121,32.1777,-0.9757,-0.869,0.9896,0.0224,0.9896,0.1306,-0.8906,-3077.7537,0.3586,0.3586,0.4672,0.2001,0.1263,1.2731,0.6684,0.4067,0.6418,0.3072,0.3265,0.3863,0.9103,1.1508,1.9328,1.602,0.3557,0.0437,0.3346,0.5103,1.6402,0.4776,1.6828,0.992,0.0613,0.0484
0.3532,2.1795,0.2911,1.2953,-0.0892,-0.0939,-1.0908,0.0386,0.5732,1.0406,0.4585,0.0118,32.1562,-0.9651,-0.8579,0.9894,0.0223,0.9894,0.1313,-0.8999,-3197.9759,0.3549,0.3549,0.4745,0.2027,0.1272,1.2754,0.6666,0.403,0.6608,0.315,0.3347,0.3826,0.9084,1.1542,1.9717,1.5978,0.3521,0.0418,0.3309,0.512,1.6388,0.4804,1.6783,0.9913,0.0617,0.0489
0.3177,1.9372,0.25,1.2295,-0.0656,-0.0684,-0.9749,0.0368,0.5124,0.9162,0.4099,0.0169,28.4174,-0.8221,-0.6876,0.983,0.0106,0.983,0.1014,-0.8645,-2430.4651,0.316,0.316,0.4047,0.1655,0.1083,1.2255,0.6488,0.3585,0.551,0.2428,0.254,0.3421,0.8893,1.1239,1.7536,1.5137,0.3163,0.0519,0.2953,0.5677,1.5415,0.5213,1.5353,1.0022,0.0537,0.0462
0.3324,2.0155,0.2794,1.2696,-0.0682,-0.0713,-1.0531,0.0353,0.5388,0.9627,0.431,0.015,31.1773,-0.8956,-0.7634,1.0029,0.0073,1.0029,0.0942,-0.9079,-3037.0454,0.3329,0.3329,0.423,0.1709,0.1118,1.261,0.6662,0.3749,0.5805,0.2564,0.2682,0.3578,0.9119,1.1831,1.9036,1.5685,0.3318,0.0503,0.3046,0.5499,1.597,0.5094,1.6145,1.0342,0.0354,0.044
0.3539,2.123,0.2651,1.2256,-0.0521,-0.0543,-1.1513,0.0461,0.5572,1.0007,0.4458,0.0388,31.6682,-0.9352,-0.8067,1,0.0075,1,0.0978,-0.9324,-2768.3034,0.3453,0.3453,0.4372,0.1714,0.1121,1.2552,0.677,0.3932,0.6297,0.2715,0.2809,0.3777,0.9236,1.1637,1.8976,1.6598,0.3524,0.0584,0.318,0.5532,1.6851,0.499,1.5408,1.0305,0.0535,0.0281
0.3584,2.1452,0.2853,1.2853,-0.0736,-0.0772,-1.1903,0.0397,0.5808,1.0061,0.4646,0.017,31.2251,-1.0305,-0.8699,1.0038,0.0098,1.0038,0.1081,-0.9055,-2497.9462,0.3554,0.3554,0.4362,0.1745,0.1143,1.2615,0.6792,0.3953,0.6414,0.2767,0.2867,0.3795,0.9259,1.1513,1.9495,1.6571,0.357,0.061,0.3301,0.5442,1.696,0.493,1.6516,1.0268,0.0526,0.0517
