Index2,Index2.1,Index2.2,Index3,Index5,Index15,Index15.1,Index11,Index15.2,Index15.3,Index25,Index25.1,AutoVI-Chl,Index25.2,Index25.3,Index28,Index28.1,Index26,Index26.1,Index28.2,Index32,Index33,Index32.1,Index31,Index32.2
1.041110915,1.02390736,1.02390736,0.041110915,0.011582,1.087222921,1.450422897,0.898420003,-0.124561627,-0.552331831,1.008733864,0.981331376,0.980025129,0.973762479,1.177062817,0.013548121,1.328911444,1.454661963,0.007362265,-0.011048902,1.674917595,-0.003241096,-0.009876097,0.213983848,-0.005376075
1.065784249,1.046239939,1.046239939,0.065784249,0.023067333,1.154034732,1.615602946,0.772354323,-0.201184671,-0.734054173,0.967929419,0.905860437,0.915099243,0.928464345,1.136642369,0.018843381,1.267291796,1.405077677,0.01174782,-0.015879915,1.566436515,-0.006315002,-0.013907033,0.221493048,-0.008660165
1.001113386,0.985518137,0.985518137,0.001113386,-0.006944,1.001154905,1.196539685,1.078690007,-0.011088391,-0.297965856,1.082200779,1.140653276,1.087647265,1.051880765,1.274743218,0.006227034,1.424257205,1.501094248,0.000195061,-0.003630221,1.897378057,0.001925185,-0.004241547,0.205312918,-0.000143101
1.019850065,1.00534966,1.00534966,0.019850065,0.002649667,1.055243576,1.354973507,0.976048638,-0.077884151,-0.460682547,1.036964286,1.05983559,1.025239471,1.006689006,1.223353047,0.009660003,1.374760036,1.472791087,0.003578424,-0.007303344,1.802719426,-0.000739042,-0.006607622,0.21239139,-0.002651825
1.038522075,1.022316262,1.022316262,0.038522075,0.010917666,1.083776782,1.445890292,0.901698604,-0.118924198,-0.550272429,1.007388855,0.993027323,0.983545712,0.97188315,1.173943728,0.013161278,1.334296757,1.456106767,0.007011437,-0.010616079,1.695357111,-0.003096789,-0.009602844,0.214109769,-0.005177617
1.004581506,0.990129767,0.990129767,0.004581506,-0.004731,1.003752221,1.190164896,1.083918203,-0.014458562,-0.288840184,1.081031002,1.142507302,1.080784462,1.050295482,1.268417729,0.006431931,1.421456542,1.514255914,0.000800797,-0.00390658,1.892059053,0.001295975,-0.004458975,0.205725687,-0.000582207
1.083583502,1.062692076,1.062692076,0.083583502,0.032013667,1.218676901,1.846284974,0.61696308,-0.29816702,-0.956726786,0.926182895,0.760792229,0.845611689,0.882878068,1.076362781,0.022515585,1.218107109,1.354415505,0.015390659,-0.019544464,1.407919331,-0.008801745,-0.016896554,0.226612148,-0.011339209
1.007845343,0.992441181,0.992441181,0.007845343,-0.003728667,1.020760675,1.251493088,1.049344095,-0.038222936,-0.3614515,1.061447256,1.104517572,1.060912835,1.034894872,1.251863829,0.007462672,1.421327739,1.50430045,0.001407623,-0.00494362,1.873563579,0.00104965,-0.005192539,0.208069648,-0.001051116
1.039400857,1.021077233,1.021077233,0.039400857,0.010022667,1.085335902,1.439774247,0.911800192,-0.120296424,-0.549078769,1.01360451,1.001038449,0.984906337,0.973488546,1.18966082,0.013471838,1.331415768,1.441344962,0.006814207,-0.010547669,1.688167964,-0.002757271,-0.009849781,0.213587439,-0.004989288
1.039980399,1.022287777,1.022287777,0.039980399,0.010675667,1.087665653,1.442324978,0.902825201,-0.122835073,-0.552232099,1.012147693,0.994515114,0.981812996,0.971229363,1.186457925,0.013401097,1.331097274,1.436592016,0.006930573,-0.010562503,1.676608724,-0.002928811,-0.009811494,0.212982973,-0.005088774
1.060390713,1.0424157,1.0424157,0.060390713,0.021039,1.139691143,1.623393087,0.77372892,-0.197276428,-0.733184683,0.976081189,0.894041748,0.92925805,0.939755071,1.136007274,0.017618659,1.276115822,1.420201323,0.011126977,-0.014987869,1.580731663,-0.005924763,-0.012971525,0.220906558,-0.008129992
1.046082966,1.02763758,1.02763758,0.046082966,0.013478,1.108613682,1.501827802,0.859411154,-0.14764175,-0.620038068,0.987076876,0.960905437,0.955775499,0.952968445,1.162969228,0.015202373,1.310495038,1.433235672,0.008280174,-0.012352297,1.657989193,-0.003801287,-0.011050698,0.218087212,-0.006102864
1.011233077,0.997251696,0.997251696,0.011233077,-0.001380333,1.025833758,1.269262174,1.03161275,-0.042861532,-0.377149224,1.057398558,1.108165717,1.05475505,1.030649358,1.245054785,0.007968778,1.40430117,1.509671968,0.002056886,-0.005732753,1.884213404,0.000388099,-0.005328288,0.210949692,-0.001538733
1.062409163,1.04381155,1.04381155,0.062409163,0.021729667,1.14686108,1.645553765,0.761171372,-0.207330065,-0.755828373,0.969591527,0.881533338,0.92347047,0.933766864,1.126946141,0.018143196,1.269664024,1.413853151,0.011550805,-0.015467595,1.567927762,-0.006175509,-0.013449084,0.220800015,-0.008478445
1.013900848,0.998585543,0.998585543,0.013900848,-0.0006664,1.025595791,1.264123702,1.028927404,-0.043834895,-0.36241267,1.050029303,1.091566718,1.042738527,1.017655909,1.230977538,0.008259427,1.393145788,1.494852424,0.002453343,-0.005718258,1.797468166,0.000188083,-0.005874249,0.208117433,-0.001784778
1.004941476,0.990119653,0.990119653,0.004941476,-0.004716667,1.008396993,1.2217812,1.073886792,-0.021295696,-0.324275733,1.069704313,1.132135474,1.077690188,1.040169175,1.258091545,0.006728413,1.414865232,1.516575089,0.000882965,-0.004289258,1.869323371,0.001337741,-0.0045623,0.207010393,-0.000645529
1.056085863,1.036636873,1.036636873,0.056085863,0.018086,1.127747809,1.569380796,0.822711387,-0.17540461,-0.68355272,0.982765193,0.937414074,0.941703045,0.944255492,1.151483837,0.017007411,1.292762058,1.409396426,0.0100499,-0.014064888,1.618788605,-0.005001544,-0.012571297,0.21876619,-0.007396176
